USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
ashishsingh      73148   0.5  0.3 435531472  21536   ??  S     8:37PM   0:00.13 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
ashishsingh      54459   0.5  1.2 1909001968  96976   ??  S    12:37PM   2:42.66 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/ashishsingh/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,18383460315182919034,15311273113973188016,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709001304541078
root               398   0.5  0.0 435305376   2976   ??  Ss    9:07PM   1:21.36 /usr/sbin/notifyd
ashishsingh      66058   0.5  0.1 435544080   8304   ??  U     6:01PM   0:08.04 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
root               336   0.4  0.1 435315744   4432   ??  Ss    9:07PM   3:33.29 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
ashishsingh       1400   0.4  0.1 436984192   9216   ??  S     9:08PM   0:10.74 /Applications/Ollama.app/Contents/MacOS/Ollama
ashishsingh        673   0.4  0.1 435583776   7216   ??  S     9:07PM   0:08.71 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
ashishsingh        629   0.4  0.1 435618736   7072   ??  S     9:07PM   4:59.33 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent launchd -s
root               400   0.4  0.1 435342240   5104   ??  Ss    9:07PM   1:52.63 /usr/libexec/corebrightnessd --launchd
ashishsingh       1052   0.4  1.4 453415184 118320   ??  S     9:08PM  19:14.08 /opt/homebrew/opt/node@24/bin/node /opt/homebrew/lib/node_modules/openclaw/dist/index.js gateway --port 18789
root               392   0.4  0.0 435343648   4032   ??  Us    9:07PM   7:00.04 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
ashishsingh        921   0.4  0.1 435580512  10848   ??  S     9:07PM   0:47.95 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
ashishsingh        934   0.3  1.9 1951149392 162368   ??  S     9:07PM  10:07.70 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=8 --time-ticks-at-unix-epoch=-1786462601060958 --launch-time-ticks=75427595 --shared-files --metrics-shmem-handle=1752395122,r,10789258700836362413,3291736653408013864,2097152 --field-trial-handle=1718379636,r,18192539357796610590,16074816570100697174,262144 --variations-seed-version=20260809-030041.537000-production --pseudonymization-salt-handle=1935764596,r,6779163293611924589,8537752531562903420,4 --trace-process-track-uuid=3190708993808206286 --seatbelt-client=88
root               702   0.2  0.1 435356016   7680   ??  Ss    9:07PM   0:44.59 /usr/libexec/gamepolicyd
ashishsingh        652   0.2  0.1 441428656   8720   ??  U     9:07PM   3:02.99 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
root              1105   0.1  0.0 435343504   3392   ??  Ss    9:08PM   0:04.18 /System/Library/PrivateFrameworks/FamilyControls.framework/Resources/parentalcontrolsd
_driverkit         554   0.1  0.5 435305920  37824   ??  Ss    9:07PM  12:02.11 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000c04 com.apple.DriverKit-AppleBCMWLAN
ashishsingh      67141   0.1  0.1 435340464   5136   ??  S     6:42PM   0:00.78 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
ashishsingh      54504   0.1  0.5 1892233136  38816   ??  S    12:37PM   0:19.02 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/ashishsingh/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,18383460315182919034,15311273113973188016,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709002241582927
root               409   0.1  0.0 435325888   2496   ??  Ss    9:07PM   0:08.41 /System/Library/CoreServices/coreservicesd
root               407   0.1  0.0 435306880   3472   ??  Ss    9:07PM   1:06.31 /usr/sbin/cfprefsd daemon
ashishsingh      66662   0.1  0.2 486060576  17200   ??  S     6:17PM   0:09.54 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en --service-sandbox-type=network --start-stack-profiler --user-data-dir=/Users/ashishsingh/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.96.518 --shared-files --metrics-shmem-handle=1752395122,r,14775516360077568452,2406557002008258085,524288 --field-trial-handle=1718379636,r,15165164768989790511,16309046213044028105,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,10895747153640636646,9800218505192165354,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=30
root               371   0.1  0.1 435355472   7328   ??  Ss    9:07PM   3:33.38 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               375   0.1  0.1 435343872   6992   ??  Ss    9:07PM   0:39.06 /System/Library/CoreServices/launchservicesd
ashishsingh      66665   0.1  0.3 1890731440  23472   ??  S     6:17PM   1:57.57 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper (Renderer).app/Contents/MacOS/Spotify Helper (Renderer) --type=renderer --user-data-dir=/Users/ashishsingh/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.96.518 --autoplay-policy=no-user-gesture-required --enable-blink-features=DocumentPictureInPictureCefOptions --lang=en --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1786497836503119 --launch-time-ticks=41014697149 --shared-files --metrics-shmem-handle=1752395122,r,2634175677622403958,17049753659752595723,2097152 --field-trial-handle=1718379636,r,15165164768989790511,16309046213044028105,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,10895747153640636646,9800218505192165354,4 --trace-process-track-uuid=3190708992871164437 --seatbelt-client=162
ashishsingh        620   0.1  0.0 435367376   3552   ??  S     9:07PM   0:08.92 /usr/sbin/universalaccessd launchd -s
ashishsingh      71948   0.1  0.1 435518752   6848   ??  S     8:28PM   0:00.32 /System/Cryptexes/App/usr/libexec/SafariBookmarksSyncAgent
ashishsingh      72005   0.1  0.2 435601888  13728   ??  Ss    8:28PM   0:01.41 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
ashishsingh        603   0.1  0.0 435305664   3136   ??  S     9:07PM   0:24.29 /usr/sbin/distnoted agent
ashishsingh      54660   0.1  0.4 1890418416  34576   ??  S    12:37PM   0:11.53 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --max-old-space-size=3072 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/node_modules/typescript/lib/tsserver.js --useInferredProjectPerProjectRoot --enableTelemetry --cancellationPipeName /var/folders/3t/t_zmxljd573839_bvb_mkc180000gn/T/vscode-typescript501/460130b578f6c0c47e6f/tscancellation-85568b5bf90d402a72d4.tmp* --locale en --noGetErrOnBackgroundUpdate --canUseWatchEvents --validateDefaultNpmLocation --useNodeIpc
root               361   0.1  0.1 435607424  12416   ??  Ss    9:07PM  26:48.79 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
ashishsingh      48160   0.1  0.1 435423536   7952   ??  Ss   11:19AM   0:02.74 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
ashishsingh      62166   0.1  0.8 1949188192  69728   ??  S     4:46PM   1:31.38 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.77/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1063 --time-ticks-at-unix-epoch=-1786462601060958 --launch-time-ticks=35568961839 --shared-files --metrics-shmem-handle=1752395122,r,17364705392584188375,8707854552014220682,2097152 --field-trial-handle=1718379636,r,18192539357796610590,16074816570100697174,262144 --variations-seed-version=20260809-030041.537000-production --pseudonymization-salt-handle=1935764596,r,6779163293611924589,8537752531562903420,4 --trace-process-track-uuid=3190709982387356981 --seatbelt-client=245
root               364   0.1  0.0 435341296   2928   ??  Ss    9:07PM   0:36.00 /usr/libexec/diskarbitrationd
root               346   0.1  0.1 435342224   5408   ??  Ss    9:07PM   0:42.42 /System/Library/CoreServices/powerd.bundle/powerd
ashishsingh        641   0.1  0.1 435344320   6560   ??  S     9:07PM   1:20.45 /usr/libexec/trustd --agent
_locationd       73151   0.0  0.1 435352560   5136   ??  S     8:37PM   0:00.05 /usr/libexec/secinitd
_locationd       73150   0.0  0.1 435418368   9648   ??  S     8:37PM   0:00.24 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
ashishsingh      73149   0.0  0.1 435352688   7856   ??  S     8:37PM   0:00.15 /usr/libexec/secinitd
root             73146   0.0  0.1 435353840   7152   ??  Ss    8:37PM   0:00.21 /usr/libexec/wifip2pd
_accessoryupdater 73137   0.0  0.0 435341472   3792   ??  Ss    8:37PM   0:00.09 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
